hour,minute,numberOfCalls
17,6,13
10,8,12
10,10,11
9,8,11
8,58,11
9,4,10
8,33,10
8,34,10
8,40,10
10,9,9
9,7,9
8,37,9
9,20,9
9,0,9
9,45,9
14,55,9
17,7,9
9,46,8
8,32,8
15,53,8
16,25,8
9,49,8
10,23,8
8,57,8
8,47,8
9,30,8
16,30,8
16,31,8
16,21,8
9,2,8
9,34,8
11,15,7
15,52,7
9,14,7
9,36,7
9,15,7
9,47,7
9,5,7
15,55,7
8,46,7
10,58,7
9,40,7
10,4,7
12,32,7
14,2,7
9,9,7
16,41,7
8,59,7
10,5,7
16,20,7
15,59,7
17,4,7
9,54,7
10,28,7
9,1,7
9,44,7
11,24,7
16,33,7
10,41,6
12,48,6
15,30,6
7,25,6
9,26,6
8,55,6
10,1,6
15,9,6
14,48,6
8,56,6
10,34,6
10,13,6
10,24,6
14,1,6
16,18,6
16,8,6
16,40,6
9,41,6
10,15,6
10,26,6
14,3,6
17,32,6
10,16,6
8,49,6
10,6,6
8,39,6
8,50,6
9,22,6
11,2,6
9,33,6
16,23,6
9,24,6
9,3,5
9,35,5
17,8,5
9,25,5
12,1,5
15,19,5
11,27,5
10,0,5
10,11,5
15,54,5
9,16,5
17,10,5
17,50,5
7,26,5
10,12,5
10,44,5
11,18,5
17,0,5
17,39,5
17,11,5
7,27,5
15,10,5
16,50,5
8,35,5
15,56,5
17,1,5
9,50,5
11,30,5
17,12,5
9,29,5
10,14,5
16,19,5
14,51,5
17,42,5
9,31,5
8,38,5
9,10,5
10,27,5
16,10,5
17,55,5
9,43,5
16,0,5
17,5,5
10,7,5
11,13,5
15,50,5
16,22,5
16,55,5
14,16,5
8,51,5
9,23,5
8,41,5
9,13,5
10,51,5
8,52,5
15,41,5
14,7,4
14,44,4
16,24,4
10,20,4
10,52,4
11,26,4
14,56,4
17,48,4
7,24,4
7,39,4
12,38,4
17,37,4
8,43,4
10,21,4
16,15,4
16,47,4
10,43,4
11,17,4
13,23,4
8,44,4
9,48,4
9,27,4
11,7,4
13,59,4
16,49,4
9,6,4
9,38,4
9,28,4
12,30,4
16,17,4
17,29,4
10,45,4
11,19,4
16,28,4
9,18,4
16,7,4
10,3,4
8,36,4
11,20,4
17,2,4
9,19,4
10,25,4
11,31,4
15,1,4
10,36,4
15,12,4
16,52,4
14,13,4
15,58,4
9,52,4
10,37,4
11,11,4
16,53,4
7,49,4
9,42,4
10,48,4
9,53,4
8,28,4
10,38,4
12,34,4
15,49,4
14,53,4
17,45,4
14,28,4
10,39,4
10,50,4
14,54,4
15,28,4
17,46,4
7,20,4
9,55,4
16,44,4
14,6,4
17,35,4
11,25,4
10,30,4
12,37,3
17,36,3
7,53,3
16,3,3
12,27,3
15,42,3
16,14,3
16,46,3
10,42,3
13,22,3
12,13,3
13,38,3
14,57,3
16,4,3
16,36,3
17,9,3
17,49,3
10,32,3
11,6,3
9,37,3
17,38,3
10,22,3
14,58,3
15,32,3
16,5,3
16,16,3
12,3,3
8,45,3
9,17,3
16,6,3
16,38,3
11,8,3
9,39,3
12,41,3
17,40,3
15,0,3
16,39,3
10,35,3
18,10,3
14,50,3
17,53,3
11,21,3
15,25,3
17,3,3
8,48,3
11,0,3
12,33,3
13,17,3
15,48,3
14,52,3
19,2,3
9,21,3
15,3,3
15,38,3
14,4,3
14,41,3
17,33,3
10,17,3
11,23,3
12,45,3
8,13,3
14,42,3
17,34,3
9,12,3
10,29,3
15,40,3
16,12,3
10,40,3
12,47,3
14,17,3
16,2,3
17,47,3
16,13,3
16,45,3
8,31,2
12,0,2
13,21,2
15,18,2
8,42,2
12,12,2
13,37,2
8,53,2
9,59,2
13,57,2
11,16,2
14,8,2
14,45,2
7,54,2
10,53,2
15,31,2
8,54,2
12,28,2
14,34,2
15,8,2
15,43,2
17,27,2
12,39,2
16,26,2
16,59,2
10,55,2
11,28,2
12,51,2
16,37,2
10,33,2
12,29,2
13,13,2
15,44,2
7,41,2
16,27,2
10,57,2
12,15,2
14,59,2
15,33,2
17,51,2
10,2,2
13,14,2
14,0,2
15,45,2
12,4,2
13,26,2
14,11,2
12,17,2
11,9,2
11,46,2
12,31,2
13,15,2
15,11,2
15,46,2
16,51,2
17,30,2
7,45,2
10,46,2
14,12,2
15,24,2
16,29,2
9,51,2
10,59,2
12,59,2
11,10,2
14,39,2
15,47,2
17,31,2
18,12,2
12,43,2
8,7,2
13,0,2
16,9,2
17,15,2
7,32,2
14,40,2
15,13,2
12,44,2
8,10,2
11,1,2
11,33,2
12,22,2
13,4,2
13,48,2
14,27,2
16,42,2
17,16,2
7,33,2
9,32,2
11,12,2
13,18,2
15,14,2
7,50,2
10,49,2
19,3,2
7,19,2
12,23,2
15,4,2
16,11,2
17,56,2
11,55,2
14,5,2
18,15,2
7,51,2
10,18,2
12,46,2
16,1,2
11,3,2
11,35,2
13,50,2
17,22,2
17,57,2
11,14,2
12,36,2
14,43,2
15,51,2
16,56,2
7,52,2
10,19,2
15,29,2
7,21,2
8,15,2
9,57,2
11,4,2
12,25,2
14,30,2
15,6,2
17,25,2
7,38,1
16,57,1
18,20,1
14,18,1
16,35,1
8,17,1
10,31,1
11,5,1
11,38,1
13,10,1
14,33,1
15,7,1
17,26,1
18,2,1
16,58,1
18,22,1
0,5,1
12,49,1
14,19,1
8,19,1
11,39,1
13,11,1
13,58,1
18,6,1
7,40,1
12,2,1
14,9,1
14,46,1
15,21,1
18,34,1
1,45,1
7,58,1
12,14,1
13,39,1
14,20,1
8,20,1
11,40,1
14,36,1
17,28,1
18,7,1
12,40,1
13,24,1
14,10,1
15,22,1
18,35,1
2,9,1
7,59,1
11,29,1
12,52,1
13,40,1
14,21,1
8,23,1
11,41,1
14,37,1
18,9,1
7,44,1
14,49,1
15,23,1
18,36,1
7,0,1
8,0,1
12,56,1
13,42,1
14,23,1
15,34,1
17,52,1
7,28,1
8,25,1
14,38,1
12,5,1
12,42,1
13,27,1
15,57,1
17,41,1
19,0,1
7,4,1
8,6,1
12,18,1
13,44,1
14,24,1
15,35,1
17,13,1
7,29,1
8,26,1
11,48,1
13,16,1
7,48,1
10,47,1
12,6,1
13,28,1
19,1,1
7,14,1
11,32,1
12,20,1
13,47,1
14,25,1
15,2,1
15,36,1
17,54,1
8,27,1
11,49,1
18,13,1
11,22,1
12,7,1
13,30,1
14,14,1
15,26,1
17,43,1
7,16,1
11,54,1
16,54,1
18,14,1
9,11,1
12,9,1
13,32,1
14,15,1
15,27,1
16,32,1
11,34,1
13,5,1
13,49,1
15,39,1
16,43,1
17,20,1
7,35,1
8,29,1
12,35,1
13,19,1
15,16,1
12,10,1
13,34,1
19,9,1
8,14,1
12,24,1
13,6,1
14,29,1
15,5,1
7,37,1
8,30,1
11,59,1
13,20,1
15,17,1
18,19,1
12,11,1
13,36,1
16,34,1
11,36,1
13,9,1
13,56,1
18,1,1
